carrier_code,carrier_name
9E,Endeavor Air
AA,American Airlines
AS,Alaska Airlines
B6,JetBlue Airways
DL,Delta Air Lines
F9,Frontier Airlines
G4,Allegiant Air
HA,Hawaiian Airlines
MQ,Envoy Air
NK,Spirit Airlines
OH,PSA Airlines
OO,SkyWest Airlines
QX,Horizon Air
UA,United Airlines
WN,Southwest Airlines
YV,Mesa Airlines
YX,Republic Airways
EV,ExpressJet Airlines
VX,Virgin America
C5,CommuteAir
ZW,Air Wisconsin
PT,Piedmont Airlines
G7,GoJet Airlines
KS,Peninsula Airways
EM,Empire Airlines
9K,Cape Air
